Date,Region,Product,Sales,Profit
2024-01-01,North,Laptop,52000,8200
2024-01-02,South,Mobile,31000,5200
2024-01-03,West,Tablet,22000,4200
2024-01-04,East,Laptop,48000,7600
2024-01-05,North,Mobile,26000,3500
2024-01-06,South,Tablet,17000,2500
2024-01-07,West,Laptop,61000,9500
2024-01-08,East,Mobile,37000,6200
2024-01-09,North,Tablet,19000,2700
2024-01-10,South,Laptop,56000,8700
2024-01-11,West,Mobile,33000,5400
2024-01-12,East,Tablet,21000,3900
2024-01-13,North,Laptop,54000,8300
2024-01-14,South,Mobile,29000,4800
2024-01-15,West,Tablet,23000,4300
2024-01-16,East,Laptop,47000,7400
2024-01-17,North,Mobile,28000,3700
2024-01-18,South,Tablet,16000,2400
2024-01-19,West,Laptop,63000,9800
2024-01-20,East,Mobile,35000,6000
2024-01-21,North,Tablet,20000,2900
2024-01-22,South,Laptop,58000,9000
2024-01-23,West,Mobile,34000,5500
2024-01-24,East,Tablet,24000,4500
2024-01-25,North,Laptop,55000,8600
2024-01-26,South,Mobile,32000,5300
2024-01-27,West,Tablet,21000,4100
2024-01-28,East,Laptop,49000,7700
2024-01-29,North,Mobile,27000,3600
2024-01-30,South,Tablet,18000,2600
2024-02-01,West,Laptop,64000,9900
2024-02-02,East,Mobile,38000,6300
2024-02-03,North,Tablet,22000,3100
2024-02-04,South,Laptop,60000,9200
2024-02-05,West,Mobile,35000,5600
2024-02-06,East,Tablet,25000,4600
2024-02-07,North,Laptop,57000,8800
2024-02-08,South,Mobile,30000,5000
2024-02-09,West,Tablet,24000,4400
2024-02-10,East,Laptop,51000,7900
2024-02-11,North,Mobile,29000,3800
2024-02-12,South,Tablet,17000,2500
2024-02-13,West,Laptop,66000,10200
2024-02-14,East,Mobile,36000,6100
2024-02-15,North,Tablet,21000,3000
2024-02-16,South,Laptop,59000,9100
2024-02-17,West,Mobile,34000,5500
2024-02-18,East,Tablet,23000,4200
2024-02-19,North,Laptop,58000,8900
2024-02-20,South,Mobile,31000,5200
2024-02-21,West,Tablet,25000,4700
2024-02-22,East,Laptop,52000,8000
2024-02-23,North,Mobile,30000,4000
2024-02-24,South,Tablet,19000,2800
2024-02-25,West,Laptop,67000,10500
2024-02-26,East,Mobile,39000,6500
2024-02-27,North,Tablet,22000,3200
2024-02-28,South,Laptop,61000,9400
2024-02-29,West,Mobile,36000,6000
2024-02-29,East,Tablet,26000,4800
